DateTime,AddedIPs,RemovedIPs
1539938427,10,9
1539939410,7,2
1539940355,4,9
1539941309,5,9
1539942021,5,17
1539942750,10,10
1539943716,7,16
1539944675,9,5
1539945627,10,5
1539946343,3,7
1539947077,6,4
1539947802,9,10
1539948762,9,11
1539949468,6,7
1539950184,5,0
1539950919,4,10
1539951876,9,7
1539952826,12,6
1539953530,2,6
1539954262,5,13
1539954971,8,0
1539955694,8,6
1539956669,7,4
1539957626,5,4
1539958599,4,14
1539959555,15,12
1539960263,5,9
1539960984,9,13
1539961705,4,0
1539962433,9,1
1539963149,4,10
1539963868,8,3
1539964615,4,7
1539965590,11,19
1539966264,4,9
1539966982,9,18
1539967706,12,8
1539968437,6,10
1539969148,6,0
1539969862,10,11
1539970592,12,34
1539971555,13,6
1539972528,10,6
1539973470,11,13
1539974433,12,10
1539975388,8,16
1539976363,13,17
1539977309,18,14
1539978276,8,28
1539979238,14,0
1539980195,12,20
1539981155,8,7
1539982112,15,24
1539983074,8,15
1539984043,9,12
1539984980,11,5
1539985959,10,15
1539986916,5,14
1539987874,8,13
1539988831,13,12
1539989540,16,13
1539990270,3,0
1539990985,8,11
1539991710,8,13
1539992421,12,0
1539993149,13,8
1539993866,11,6
1539994673,14,15
1539995562,9,9
1539996509,16,7
1539997478,14,24
1539998433,9,10
1539999145,15,11
1539999864,15,0
1540000580,10,25
1540001319,6,22
1540002022,6,14
1540002751,14,0
1540003461,9,16
1540004189,4,0
1540005168,17,17
1540005866,9,7
1540006586,9,18
1540007306,10,14
1540008039,11,0
1540008756,7,14
1540009464,4,8
1540010183,8,6
1540010907,8,11
1540011877,8,6
1540012829,8,2
1540013547,7,5
1540014262,4,2
1540014989,6,10
1540015714,5,7
1540016666,17,11
1540017628,16,10
1540018349,18,14
1540019072,9,0
1540019784,9,20
1540020502,9,3
1540021470,9,5
1540022433,11,8
1540023403,5,10
1540024363,12,9
1540025299,7,11
1540026265,9,5
1540027214,12,4
1540028318,8,6
1540029148,14,3
1540030119,16,17
1540031065,10,0
1540032027,9,9
1540032995,7,5
1540033951,11,7
1540034664,4,5
1540035381,7,5
1540036102,5,3
1540036869,8,7
1540037798,9,9
1540038749,5,13
1540039931,12,18
1540040661,6,0
1540041617,6,17
1540042592,8,6
1540043554,10,5
1540044514,8,6
1540045485,7,8
1540046431,16,4
1540047391,8,9
1540048354,7,3
1540049306,12,7
1540050268,12,2
1540051235,12,14
1540052197,9,6
1540053152,13,3
1540054109,11,11
1540055072,10,10
1540056030,18,14
1540056995,12,21
1540057951,15,0
1540058915,8,17
1540059866,7,10
1540060830,13,14
1540061789,11,24
1540062760,8,0
1540063706,11,20
1540064421,9,8
1540065157,5,10
1540065866,9,17
1540066585,5,0
1540067561,9,18
1540068510,17,0
1540069478,11,18
1540070428,13,0
1540071395,5,18
1540072350,9,0
1540073315,6,10
1540074267,7,15
1540075228,13,6
1540076189,12,15
1540077154,15,8
1540078106,5,8
1540079067,11,17
1540080041,10,9
1540080983,9,14
1540081941,8,6
1540082896,5,16
1540083874,13,13
1540084839,37,34
1540085793,21,14
1540086773,18,18
1540087715,12,12
1540088670,7,19
1540089629,9,7
1540090590,15,28
1540091556,7,0
1540092506,9,16
1540093468,12,9
1540094433,14,12
1540095398,10,15
1540096353,7,9
1540097063,5,13
1540097787,2,3
1540098755,2,6
1540099463,3,8
1540100197,4,5
1540101150,5,3
1540102114,3,5
1540103065,6,7
1540104027,9,15
1540104744,8,12
1540105718,13,15
1540106444,7,7
1540107396,11,8
1540108376,10,5
1540109317,8,8
1540110267,16,12
1540111229,13,11
1540112191,12,9
1540113399,14,12
1540114353,8,10
1540115076,8,3
1540115787,10,9
1540116503,12,0
1540117226,11,10
1540118198,8,12
1540119157,7,10
1540120118,9,11
1540121070,12,17
1540122028,15,11
1540122742,4,2
1540123474,10,9
1540124184,11,0
1540124914,8,7
1540125868,7,5
1540126840,9,4
1540127813,5,12
1540128509,15,8
1540129227,5,8
1540130206,10,6
1540131156,9,6
1540131863,9,0
1540132584,6,3
1540133306,2,8
1540134033,7,15
1540134851,4,11
1540135476,11,0
1540136186,4,10
1540136906,8,8
1540137875,9,3
1540139093,16,8
1540139797,8,9
1540140502,4,0
1540141240,6,15
1540142272,9,10
1540143140,17,6
1540144110,8,11
1540145076,15,17
1540146031,11,10
1540146998,9,14
1540147951,16,15
1540148915,19,14
1540149873,23,7
1540150829,14,17
1540151806,12,7
1540152752,11,4
1540153462,8,7
1540154184,8,12
1540154902,9,0
1540155638,9,9
1540156595,7,15
1540157559,10,6
1540158262,6,11
1540158988,8,15
