DateTime,AddedIPs,RemovedIPs
1539931655,5,9
1539932614,4,6
1539933333,6,5
1539934052,7,5
1539934774,8,10
1539935492,29,4
1539936453,24,5
1539937412,14,4
1539938372,7,4
1539939333,9,5
1539940293,5,9
1539941255,1546,6
1539941977,2,6
1539942719,7,4
1539943653,4,11
1539944613,3,4
1539945573,3,13
1539946294,0,3
1539947013,2,3
1539947733,4,6
1539948693,7,2
1539949414,6,2
1539950132,7,3
1539950853,2,2
1539952293,9,5
1539953014,5,2
1539953733,10,2
1539954693,6,3
1539955413,7,3
1539956133,4,5
1539957094,7,8
1539957813,8,10
1539958535,4,5
1539959493,5,5
1539960213,5,4
1539960933,4,4
1539961653,6,4
1539962372,3,7
1539963093,4,5
1539963812,6,1
1539964533,5,8
1539965493,7,9
1539966213,8,3
1539966935,6,10
1539967653,6,4
1539968373,5,6
1539969093,6,7
1539969813,3,2
1539970533,6,6
1539971493,6,5
1539972452,6,8
1539973412,4,5
1539974373,7,7
1539975333,8,8
1539976293,10,10
1539977253,9,6
1539978213,14,1
1539979654,13,9
1539980374,3,5
1539981093,7,2
1539982053,7,5
1539983014,8,11
1539984454,8,11
1539985174,2,5
1539985894,1,8
1539986853,5,2
1539987815,5,6
1539988774,7,4
1539989529,2,8678
1539990213,8678,2
1539990934,3,4
1539991654,6,5
1539992373,5,9
1539993093,4,2
1539993813,6,4
1539994535,4,7
1539995494,8,8
1539996453,2,6
1539997414,6,5
1539998373,5,7
1539999093,7,6
1539999813,1,5
1540000533,4,5
1540001253,4,6
1540001973,4,4
1540002693,4,2
1540003413,4,2
1540004132,8,0
1540005093,4,4
1540005813,3,4
1540006534,3,4
1540007253,4,4
1540007974,3,5
1540008693,1,1
1540009413,3,0
1540010133,2,3
1540010853,4,5
1540011814,3,4
1540012773,5,4
1540013494,5,5
1540014214,1,5
1540014933,4,3
1540015653,4,2
1540016613,7,9
1540017573,4,7
1540018294,2,5
1540019013,3,2
1540019733,3,4
1540020452,5,4
1540021413,3,8
1540022373,5,36
1540023814,13,20
1540024773,3,10
1540025734,6,9
1540026692,7,7
1540027413,8,7
1540028135,4,6
1540029093,4,5
1540030053,5,5
1540031012,6,4
1540031973,7,3
1540032934,2,2
1540033893,2,2
1540034614,3,5
1540035333,1,8
1540036053,4,7
1540036833,7,3
1540037734,4,3
1540038693,4,7
1540039416,2,3
1540040136,8,9
1540041093,4,7
1540041814,3,5
1540042533,4,8
1540043493,10,6
1540044453,2,10
1540045413,2,6
1540046372,3,7
1540047333,9,9
1540048293,8,3
1540049253,4,6
1540050214,6,5
1540051174,5,7
1540052136,3,9
1540053093,5,6
1540054052,4,8
1540055013,5,4
1540055974,7,14
1540056934,4,7
1540057893,4,8
1540058853,6,3
1540059822,2,6
1540060773,10,8
1540061733,5,9
1540062693,5,8
1540063654,5,7
1540064372,5,8
1540065093,5,4
1540065813,8,5
1540066533,2,3
1540067493,5,6
1540068454,6,4
1540069414,6,8
1540070373,5,5
