DateTime,Entries,UniqueIPs
1539889942,174423,174423
1539890891,174434,174434
1539891881,174433,174433
1539892846,174425,174425
1539893779,174418,174418
1539894739,174418,174418
1539895713,174402,174402
1539896660,174405,174405
1539897615,174389,174389
1539898591,174380,174380
1539899533,174369,174369
1539900509,174370,174370
1539901455,174368,174368
1539902417,174349,174349
1539903376,174342,174342
1539904347,174341,174341
1539906055,174334,174334
1539907225,174327,174327
1539908188,174309,174309
1539909139,174319,174319
1539910118,174320,174320
1539911080,174291,174291
1539912012,174276,174276
1539912983,174278,174278
1539913951,174275,174275
1539914912,174252,174252
1539915860,174242,174242
1539916818,174238,174238
1539917815,174232,174232
1539918738,174222,174222
1539919695,174216,174216
1539920674,174216,174216
1539921689,174225,174225
1539922601,174201,174201
1539923542,174194,174194
1539924496,174173,174173
1539925493,174182,174182
1539926413,174169,174169
1539927393,174199,174199
1539928333,174193,174193
1539929303,174205,174205
1539930260,174217,174217
1539931218,174227,174227
1539932178,174217,174217
1539933144,174221,174221
1539934108,174224,174224
1539935057,174227,174227
1539936026,174242,174242
1539936991,174230,174230
1539937942,174255,174255
1539938898,174258,174258
1539939867,174251,174251
1539940946,174240,174240
1539942031,174276,174276
1539943241,174211,174211
1539944184,174249,174249
1539945142,174229,174229
1539946098,174229,174229
1539947085,174215,174215
1539948261,174232,174232
1539949477,174193,174193
1539950467,174176,174176
1539951388,174203,174203
1539952356,174167,174167
1539953294,174197,174197
1539954270,174153,174153
1539955211,174192,174192
1539956185,174167,174167
1539957156,174176,174176
1539958103,174197,174197
1539959056,174200,174200
1539960012,174197,174197
1539960991,174156,174156
1539961941,174199,174199
1539962889,174192,174192
1539964001,174186,174186
1539965119,174116,174116
1539966273,174104,174104
1539967212,174105,174105
1539968170,174102,174102
1539969157,174109,174109
1539970095,174119,174119
1539971054,174124,174124
1539972011,174117,174117
1539972980,174116,174116
1539973940,174122,174122
1539974906,174133,174133
1539975869,172482,172482
1539976819,172479,172479
1539977779,172478,172478
1539978733,172471,172471
1539979712,172469,172469
1539980674,172466,172466
1539981618,172469,172469
1539982576,172465,172465
1539983545,172469,172469
1539984503,172476,172476
1539985459,172482,172482
1539986427,172477,172477
1539987383,172490,172490
1539988340,172476,172476
1539989293,172474,172474
1539990278,172476,172476
1539991210,172487,172487
1539992173,172492,172492
1539993157,172488,172488
1539994095,172495,172495
1539995054,172495,172495
1539996018,172502,172502
1539996981,172500,172500
1539997945,172511,172511
1539998894,172503,172503
1539999873,172496,172496
1540000819,172492,172492
1540001776,172501,172501
1540002759,172498,172498
1540003701,172476,172476
1540004664,172478,172478
1540005614,172468,172468
1540006593,172468,172468
1540007533,172455,172455
1540008498,172439,172439
1540009471,172430,172430
1540010412,172425,172425
1540011369,172427,172427
1540012339,172415,172415
1540013289,172418,172418
1540014272,172414,172414
1540015222,172397,172397
1540016189,172397,172397
1540017165,172354,172354
1540018092,172352,172352
1540019081,172360,172360
1540020014,172340,172340
1540020976,172342,172342
1540021934,172322,172322
1540022901,172305,172305
1540023887,172298,172298
1540024839,172294,172294
1540025789,172265,172265
1540026765,172221,172221
1540027695,172253,172253
1540028660,172197,172197
1540029619,172229,172229
1540030594,172169,172169
1540031547,172152,172152
1540032497,172181,172181
1540033466,172161,172161
1540034416,172148,172148
1540035389,172085,172085
1540036340,172111,172111
1540037296,172112,172112
1540038263,172109,172109
1540039213,172113,172113
1540040189,172063,172063
1540041163,172038,172038
1540042097,172031,172031
1540043057,172054,172054
1540044039,171986,171986
1540044993,171982,171982
1540045948,171982,171982
1540046896,172018,172018
1540047874,171993,171993
1540048821,171978,171978
1540049795,171977,171977
1540050741,172019,172019
1540051752,171981,171981
1540052658,172011,172011
1540053625,171997,171997
1540054577,171996,171996
1540055548,171958,171958
1540056493,171995,171995
1540057470,171985,171985
1540058434,171992,171992
