DateTime,Entries,UniqueIPs
1539889941,10146,10188
1539890888,10147,10188
1539891878,10152,10193
1539892844,10143,10184
1539893777,10127,10168
1539894738,10127,10169
1539895710,10117,10159
1539896658,10113,10154
1539897613,10106,10147
1539898589,10107,10149
1539899531,10106,10148
1539900507,10107,10149
1539901452,10107,10149
1539902415,10101,10143
1539903374,10109,10151
1539904345,10101,10143
1539906053,10087,10129
1539907222,10062,10104
1539908186,10072,10114
1539909137,10061,10103
1539910116,10048,10090
1539911077,10031,10072
1539912011,10009,10050
1539912981,10028,10069
1539913950,10037,10078
1539914911,10032,10073
1539915858,10029,10071
1539916817,10026,10068
1539917813,10016,10058
1539918735,10014,10056
1539919693,10011,10053
1539920671,10004,10046
1539921687,10012,10054
1539922599,10011,10053
1539923540,10003,10045
1539924494,10002,10044
1539925466,9995,10037
1539926412,9998,10040
1539927390,10018,10060
1539928330,10019,10061
1539929300,10040,10082
1539930257,10044,10087
1539931216,10048,10091
1539932174,10055,10098
1539933141,10063,10106
1539934107,10078,10121
1539935054,10095,10138
1539936023,10084,10126
1539936989,10095,10137
1539937940,10103,10144
1539938897,10078,10119
1539939866,10081,10122
1539940943,10072,10113
1539942029,10083,10124
1539943239,10083,10124
1539944182,10086,10127
1539945140,10079,10120
1539946096,10088,10129
1539947083,10089,10130
1539948258,10087,10128
1539949474,10081,10122
1539950465,10077,10118
1539951386,10053,10094
1539952354,10058,10099
1539953293,10070,10111
1539954268,10062,10103
1539955208,10074,10115
1539956183,10056,10097
1539957153,10068,10110
1539958100,10081,10123
1539959054,10076,10118
1539960011,10085,10127
1539960990,10085,10128
1539961938,10088,10131
1539962888,10082,10125
1539963999,10067,10110
1539965117,10054,10098
1539966271,10056,10100
1539967210,10052,10096
1539968168,10043,10087
1539969154,10047,10091
1539970092,10046,10090
1539971052,10040,10084
1539972010,10037,10081
1539972977,10035,10079
1539973938,10034,10078
1539974904,10033,10077
1539975867,10027,10071
1539976817,10028,10072
1539977778,10037,10081
1539978731,10026,10070
1539979710,10019,10063
1539980673,10017,10061
