DateTime,AddedIPs,RemovedIPs
1539712234,1,0
1539712834,1,0
1539713130,15,0
1539714931,2,0
1539715531,1,0
1539716135,2,0
1539717032,1,0
1539717633,181,0
1539717934,205,0
1539718231,0,2
1539718835,3,0
1539719132,6,0
1539719435,4,0
1539720033,7,0
1539720335,158,0
1539720938,117,0
1539721836,13,0
1539725437,6,0
1539727830,1,0
1539728129,3,0
1539728429,1,0
1539729032,6,0
1539729629,9,0
1539729927,1,0
1539730532,2,0
1539731429,1,0
1539732334,1,0
1539732933,1,0
1539733238,1,0
1539733834,1,0
1539734736,2,0
1539735334,1,0
1539736235,2,0
1539738637,22,0
1539739231,1,0
1539740135,25,0
1539741333,7,0
1539743733,1,0
1539744934,1,0
1539745834,1,0
1539749127,1,0
1539750329,2,0
1539753033,1,0
1539753932,5,0
1539756030,1,0
1539756327,3,0
1539756932,1,0
1539757830,15,0
1539761135,10,0
1539763528,10,0
1539766838,1,0
1539767735,2,0
1539770133,8,0
1539771333,1,0
1539771927,2,0
1539772536,6,0
1539774030,14,0
1539774335,17,0
1539775833,1,0
1539776430,1,0
1539779135,6,0
1539781533,12,0
1539784536,7,0
1539785132,11,0
1539786336,4,0
1539787837,0,11
1539789932,1,0
1539792936,2,0
1539795335,4,0
1539796231,1,0
1539797729,10,0
1539800131,1,0
1539801034,23,0
1539807637,1,0
1539808235,5,0
1539808835,1,0
1539809432,1,0
1539810037,1,0
1539810933,1,0
1539812736,151,0
1539813030,217,0
1539813337,233,0
1539813638,90,0
1539817233,1,0
1539818127,1,0
1539819033,2,0
1539819934,0,1
1539829837,1,0
1539840628,1,0
1539847227,1,0
1539878433,1,0
1539879027,3,0
1539880837,1,0
1539881438,2,0
1539882038,2,0
1539882636,1,0
1539883833,0,17
1539885930,31,0
1539886528,59,0
1539886834,0,10
1539887433,2,1
1539887734,14,0
1539888928,12,0
1539890437,4,0
1539891334,13,0
1539892233,1,0
1539899136,1,0
1539899429,1,0
1539900937,31,0
1539901231,15,0
1539901833,4,0
1539902129,1,0
1539902729,1,0
1539903326,17,0
1539903637,3,0
1539905433,15,0
1539906034,35,0
1539906637,1,0
1539907230,1,0
1539910536,12,0
1539912936,3,0
1539916535,5,0
1539917735,7,0
1539921935,1,0
1539923131,1,0
1539924026,5,0
1539929128,19,0
1539929729,25,0
1539930629,1,0
1539931232,5,0
1539932127,4,0
1539932727,3,0
1539933932,1,0
1539934529,1,0
1539935435,2,0
1539936035,4,0
1539937833,3,0
1539940236,3,0
1539947130,1,0
1539947735,0,6
1539948035,0,3
1539948936,1,0
1539953738,11,0
1539954637,1,0
1539957037,1,0
1539959735,6,0
1539961529,10,2
1539961834,13,0
1539962434,19,0
1539963328,0,5
1539963937,0,1
1539965737,2,0
1539967536,1,0
1539968733,8,0
1539970530,14,0
1539971431,2,0
1539972331,1,0
1539972931,2,0
1539973836,8,0
1539974436,1,0
1539974736,2,0
1539975334,1,0
1539976230,1,0
