DateTime,AddedIPs,RemovedIPs
1540010523,19,16
1540011723,7,14
1540012923,20,39
1540013524,18,0
1540014123,8,3
1540014723,8,7
1540015323,11,10
1540015923,30,37
1540016523,27,19
1540017724,8,7
1540018323,23,12
1540018923,17,17
1540019524,14,13
1540020123,30,0
1540021323,11,45
1540021923,14,0
1540022523,14,15
1540023124,29,22
1540023723,39,0
1540024324,11,22
1540024924,17,21
1540025523,22,0
1540026124,24,0
1540026726,16,19
1540027323,19,0
1540027923,23,18
1540028526,12,25
1540029123,11,0
1540029724,10,26
1540030323,13,22
1540030923,14,0
1540032124,5,22
1540032725,14,13
1540033324,15,24
1540034523,12,20
1540035124,20,13
1540035723,19,0
1540036924,16,43
1540037523,13,14
1540038123,27,13
1540039324,23,17
1540040524,24,22
1540041723,19,21
1540042323,10,36
1540042924,17,0
1540043523,18,14
1540044123,25,0
1540044724,9,27
1540045323,14,0
1540046523,11,11
1540047123,7,59
1540047723,14,0
1540048324,10,28
1540048923,10,19
1540049523,13,0
1540050125,15,22
1540051323,16,22
1540051923,24,0
1540052523,14,8
1540053724,19,42
1540054323,15,0
1540054924,7,0
1540056124,9,27
1540056723,22,23
1540057324,17,21
1540058524,6,26
1540059124,12,0
1540059724,11,13
1540060323,10,0
1540060924,11,0
1540061523,12,17
1540062123,15,20
1540063323,16,39
1540064523,10,10
1540065723,7,53
1540066923,20,27
1540067524,14,0
1540068124,8,27
1540068724,14,0
1540069323,9,0
1540070523,11,14
1540071122,22,9
1540071723,13,15
1540072923,16,30
1540073524,16,0
1540074123,15,0
1540075323,7,34
1540075923,4,55
1540076523,14,0
1540077723,2,68
1540078324,12,0
1540078923,21,13
1540080125,29,8
1540080723,27,47
1540081323,15,6
1540081923,10,0
1540082523,20,27
1540083123,6,0
1540083723,17,25
1540084924,22,36
1540085523,20,23
1540086123,12,28
1540087323,22,13
1540087923,11,21
1540088523,13,8
1540089123,14,21
1540089724,21,0
1540090323,20,16
1540090923,23,21
1540091523,22,0
1540092124,2,29
1540092723,5,28
1540093323,4,25
1540093923,21,0
1540094523,19,0
1540095123,23,21
1540095724,4,19
1540096323,22,0
1540096922,13,0
1540097523,17,34
1540098124,18,0
1540098724,10,10
1540099323,5,16
1540099925,53,24
1540100523,9,7
1540101724,22,57
1540102325,25,0
1540102924,19,0
1540103523,25,25
1540104123,16,27
1540104723,31,11
1540105323,6,40
1540105926,7,21
1540106524,11,24
1540107124,12,0
1540107724,14,19
1540108324,13,0
1540108923,17,15
1540109524,23,42
1540110123,10,0
1540110723,11,14
1540111323,23,16
1540111923,21,0
1540112523,10,14
1540113124,17,0
1540113724,19,15
1540114923,10,11
1540116122,9,17
1540117322,16,15
1540117922,15,40
1540118524,18,0
1540119724,15,64
1540120324,31,14
1540120923,8,27
1540122123,27,0
1540123323,18,29
1540124524,11,29
1540125723,14,33
1540127523,11,40
1540128123,5,25
1540128723,14,0
1540129323,9,13
1540129923,11,12
1540130523,11,0
1540131124,11,5
1540131723,16,12
1540132923,13,19
1540133524,7,16
1540134124,12,19
1540134723,13,0
1540135324,12,75
1540135923,15,0
1540136523,11,20
1540137723,9,26
1540138324,13,14
1540138924,12,24
1540139523,12,10
1540140123,16,14
1540141323,6,0
1540141923,14,20
1540142523,15,0
1540143723,8,23
1540144323,8,19
1540144923,11,14
1540146124,17,10
1540146723,7,23
1540147324,19,0
1540148523,13,60
1540149124,14,0
1540149723,17,17
1540150323,11,0
1540150923,9,25
1540151526,49,31
1540152124,19,0
1540153324,16,28
1540154523,13,36
1540155123,7,0
1540155723,13,31
1540156324,14,0
1540156923,9,0
1540157523,8,17
1540158124,14,20
1540159323,21,14
1540160524,7,23
1540161123,7,50
1540161723,8,29
1540162923,11,55
1540163524,4,0
1540164123,6,14
1540165323,13,22
1540165923,15,22
1540166525,11,0
1540167724,22,46
1540168323,7,32
1540168924,3,0
1540170123,4,47
1540170724,4,69
1540171324,8,30
1540172524,8,47
1540173123,5,25
1540173724,12,0
1540174923,13,37
1540175523,8,45
1540176123,18,18
1540176723,16,0
1540177323,5,50
1540177923,30,0
1540178523,15,67
1540179725,15,0
1540180323,19,18
1540180924,18,25
1540182123,9,65
1540182724,21,20
1540183324,23,0
1540184523,9,50
1540185124,22,35
1540185723,13,14
1540186924,16,21
1540187523,16,0
1540188123,19,0
1540189323,20,56
1540189923,12,26
1540190523,19,9
1540191724,17,53
1540192325,18,0
1540192923,23,36
1540194125,23,33
1540194723,29,35
1540195324,20,0
1540196523,22,36
1540197723,23,45
1540198323,22,36
1540199524,16,40
1540200124,18,0
1540200723,18,53
1540201323,6,0
1540201924,6,41
