DateTime,AddedIPs,RemovedIPs
1539969723,8,1
1539970923,0,14
1539972124,0,14
1539972722,2,0
1539973324,0,14
1539974523,2,10
1539975123,2,0
1539975723,3,0
1539976323,5,11
1539976922,4,29
1539977523,5,0
1539978123,0,10
1539979323,0,3
1539979923,1,10
1539981123,0,4
1539981723,1,1
1539982323,1,6
1539982922,1,0
1539983524,5,10
1539984123,1,9
1539984723,2,6
1539985323,3,0
1539985922,0,1
1539986523,2,20
1539987123,1,13
1539987723,0,11
1539988923,2,10
1539989523,0,11
1539991323,2,17
1539992522,3,15
1539993122,1,0
1539993725,3,5
1539994323,0,5
1539996122,0,8
1539996723,2,13
1539997323,2,11
1539997923,2,0
1539998524,2,2
1539999723,0,2
1540000924,10,1
1540002123,5,2
1540003323,5,1
1540003923,0,17
1540004522,1,0
1540005723,0,21
1540006924,3,11
1540008123,1,37
1540008723,2,18
1540009323,14,0
1540010523,4,7
1540011122,6,7
1540011723,7,1
1540012923,8,0
1540013524,1,1
1540014123,3,0
1540015323,1,18
1540017124,4,0
1540017723,7,8
1540018323,6,21
1540018923,8,0
1540020122,5,25
1540020723,0,12
1540021323,6,7
1540022522,6,12
1540023123,2,3
1540023723,1,2
1540024923,1,4
1540025523,9,3
1540026123,4,13
1540027323,6,11
1540027923,5,5
1540028525,3,12
1540029123,7,0
1540029724,3,10
1540030323,2,6
1540030923,1,0
1540032123,2,14
1540032725,1,6
1540034523,2,10
1540035723,1,7
1540036924,1,7
1540037522,0,7
1540038123,0,1
1540039323,2,6
1540040524,8,3
1540041723,9,14
1540042323,0,10
1540042924,1,0
1540044123,6,4
1540044724,1,2
1540045323,6,2
1540046523,3,14
1540047123,2,11
1540047723,1,0
1540048323,0,19
1540048923,1,0
1540049523,0,9
1540050124,2,13
1540050723,3,14
1540051323,8,0
1540051923,1,17
1540052523,3,0
1540053123,6,18
1540053723,3,0
1540054323,2,7
1540054923,3,8
1540056123,4,15
1540056723,0,12
1540057324,2,0
1540058524,3,3
1540059124,6,0
1540059723,1,1
1540060322,1,23
1540060923,8,0
1540061523,4,18
1540063323,2,26
1540064523,2,35
1540065123,2,14
1540066922,1,4
1540068124,9,1
1540068724,7,10
1540069323,16,12
1540069925,5,0
1540070523,2,9
1540071122,3,2
1540071723,1,0
1540072323,2,5
1540072923,7,0
1540073524,1,16
1540074122,10,0
1540075323,3,10
1540075923,6,27
1540076523,7,14
1540077723,7,7
1540078323,0,22
1540080124,1,8
1540080723,0,5
1540081323,0,8
1540081923,1,0
1540082523,0,16
1540083723,0,8
1540084924,6,34
1540085523,3,0
1540086123,4,12
1540086722,1,2
1540087323,2,0
1540087923,1,1
1540088523,4,0
1540089723,1,7
1540090323,1,12
1540090923,1,4
1540091523,0,7
1540092124,3,17
1540092723,3,0
1540093323,2,0
1540093923,4,14
1540094523,3,13
1540095123,2,13
1540095723,0,6
1540096323,1,0
1540096922,1,0
1540098124,1,12
1540099323,2,14
1540099924,2,5
1540100523,5,0
1540101723,7,12
1540102325,4,0
1540102924,2,3
1540103523,3,22
1540104123,1,0
1540104723,3,11
1540105322,2,21
1540105925,1,0
1540106524,1,0
1540107124,3,24
1540107723,3,0
1540108324,3,16
1540108923,2,0
1540109524,2,10
1540110123,1,0
1540110723,9,8
